time,index,value,std
0.100000,25.000000,0.044033,0.050000
0.200000,25.000000,0.117925,0.050000
0.300000,25.000000,0.166066,0.050000
0.400000,25.000000,0.156364,0.050000
0.500000,25.000000,0.055545,0.050000
0.600000,25.000000,0.038315,0.050000
0.700000,25.000000,-0.084402,0.050000
0.800000,25.000000,-0.182211,0.050000
0.900000,25.000000,-0.175232,0.050000
1.000000,25.000000,-0.162891,0.050000
1.100000,25.000000,-0.050230,0.050000
1.200000,25.000000,-0.092832,0.050000
1.300000,25.000000,-0.032350,0.050000
1.400000,25.000000,0.163577,0.050000
1.500000,25.000000,0.144271,0.050000
1.600000,25.000000,0.085779,0.050000
1.700000,25.000000,-0.048401,0.050000
1.800000,25.000000,-0.107574,0.050000
1.900000,25.000000,0.015067,0.050000
2.000000,25.000000,-0.158830,0.050000
2.100000,25.000000,-0.229176,0.050000
2.200000,25.000000,-0.124117,0.050000
2.300000,25.000000,-0.098112,0.050000
2.400000,25.000000,0.056189,0.050000
2.500000,25.000000,0.005930,0.050000
2.600000,25.000000,0.017966,0.050000
2.700000,25.000000,0.150284,0.050000
2.800000,25.000000,0.050442,0.050000
2.900000,25.000000,-0.004042,0.050000
3.000000,25.000000,-0.022219,0.050000
3.100000,25.000000,-0.049116,0.050000
3.200000,25.000000,0.085366,0.050000
3.300000,25.000000,-0.001717,0.050000
3.400000,25.000000,0.016329,0.050000
3.500000,25.000000,0.089397,0.050000
3.600000,25.000000,0.023942,0.050000
3.700000,25.000000,0.155608,0.050000
3.800000,25.000000,0.036800,0.050000
3.900000,25.000000,0.085721,0.050000
4.000000,25.000000,0.100774,0.050000
4.100000,25.000000,0.062165,0.050000
4.200000,25.000000,0.141323,0.050000
4.300000,25.000000,0.067926,0.050000
4.400000,25.000000,0.111611,0.050000
4.500000,25.000000,0.145464,0.050000
4.600000,25.000000,0.041353,0.050000
4.700000,25.000000,0.068590,0.050000
4.800000,25.000000,0.057719,0.050000
4.900000,25.000000,0.034105,0.050000
5.000000,25.000000,0.093314,0.050000
5.100000,25.000000,-0.001878,0.050000
5.200000,25.000000,0.063147,0.050000
5.300000,25.000000,0.154451,0.050000
5.400000,25.000000,0.106072,0.050000
5.500000,25.000000,0.072750,0.050000
5.600000,25.000000,0.011491,0.050000
5.700000,25.000000,0.007051,0.050000
5.800000,25.000000,0.039102,0.050000
5.900000,25.000000,-0.138900,0.050000
6.000000,25.000000,-0.122778,0.050000
6.100000,25.000000,-0.027453,0.050000
6.200000,25.000000,0.035285,0.050000
6.300000,25.000000,0.043450,0.050000
6.400000,25.000000,-0.037147,0.050000
6.500000,25.000000,0.047388,0.050000
6.600000,25.000000,0.073081,0.050000
6.700000,25.000000,0.022142,0.050000
6.800000,25.000000,-0.096258,0.050000
6.900000,25.000000,-0.143747,0.050000
7.000000,25.000000,-0.085817,0.050000
7.100000,25.000000,-0.041479,0.050000
7.200000,25.000000,-0.064077,0.050000
7.300000,25.000000,-0.115434,0.050000
7.400000,25.000000,-0.003819,0.050000
7.500000,25.000000,0.065707,0.050000
7.600000,25.000000,0.078172,0.050000
7.700000,25.000000,-0.059798,0.050000
7.800000,25.000000,-0.117161,0.050000
7.900000,25.000000,-0.009806,0.050000
8.000000,25.000000,0.013680,0.050000
8.100000,25.000000,-0.016845,0.050000
8.200000,25.000000,-0.058951,0.050000
8.300000,25.000000,0.025496,0.050000
8.400000,25.000000,0.136121,0.050000
8.500000,25.000000,0.030743,0.050000
8.600000,25.000000,-0.046892,0.050000
8.700000,25.000000,-0.033605,0.050000
8.800000,25.000000,0.018065,0.050000
8.900000,25.000000,-0.014619,0.050000
9.000000,25.000000,-0.191269,0.050000
9.100000,25.000000,-0.226347,0.050000
9.200000,25.000000,-0.057822,0.050000
9.300000,25.000000,-0.045875,0.050000
9.400000,25.000000,-0.060038,0.050000
9.500000,25.000000,-0.132986,0.050000
9.600000,25.000000,-0.072676,0.050000
9.700000,25.000000,0.043346,0.050000
9.800000,25.000000,-0.099269,0.050000
9.900000,25.000000,-0.122211,0.050000
10.000000,25.000000,-0.080238,0.050000
