time,index,value,std
0.1,25,0,0.05
0.1,50,0,0.05
0.1,75,0,0.05
0.2,25,0,0.05
0.2,50,0,0.05
0.2,75,0,0.05
0.3,25,0,0.05
0.3,50,0,0.05
0.3,75,0,0.05
0.4,25,0,0.05
0.4,50,0,0.05
0.4,75,0,0.05
0.5,25,0,0.05
0.5,50,0,0.05
0.5,75,0,0.05
0.6,25,0,0.05
0.6,50,0,0.05
0.6,75,0,0.05
0.7,25,0,0.05
0.7,50,0,0.05
0.7,75,0,0.05
0.8,25,0,0.05
0.8,50,0,0.05
0.8,75,0,0.05
0.9,25,0,0.05
0.9,50,0,0.05
0.9,75,0,0.05
1,25,0,0.05
1,50,0,0.05
1,75,0,0.05
1.1,25,0,0.05
1.1,50,0,0.05
1.1,75,0,0.05
1.2,25,0,0.05
1.2,50,0,0.05
1.2,75,0,0.05
1.3,25,0,0.05
1.3,50,0,0.05
1.3,75,0,0.05
1.4,25,0,0.05
1.4,50,0,0.05
1.4,75,0,0.05
1.5,25,0,0.05
1.5,50,0,0.05
1.5,75,0,0.05
1.6,25,0,0.05
1.6,50,0,0.05
1.6,75,0,0.05
1.7,25,0,0.05
1.7,50,0,0.05
1.7,75,0,0.05
1.8,25,0,0.05
1.8,50,0,0.05
1.8,75,0,0.05
1.9,25,0,0.05
1.9,50,0,0.05
1.9,75,0,0.05
2,25,0,0.05
2,50,0,0.05
2,75,0,0.05
2.1,25,0,0.05
2.1,50,0,0.05
2.1,75,0,0.05
2.2,25,0,0.05
2.2,50,0,0.05
2.2,75,0,0.05
2.3,25,0,0.05
2.3,50,0,0.05
2.3,75,0,0.05
2.4,25,0,0.05
2.4,50,0,0.05
2.4,75,0,0.05
2.5,25,0,0.05
2.5,50,0,0.05
2.5,75,0,0.05
2.6,25,0,0.05
2.6,50,0,0.05
2.6,75,0,0.05
2.7,25,0,0.05
2.7,50,0,0.05
2.7,75,0,0.05
2.8,25,0,0.05
2.8,50,0,0.05
2.8,75,0,0.05
2.9,25,0,0.05
2.9,50,0,0.05
2.9,75,0,0.05
3,25,0,0.05
3,50,0,0.05
3,75,0,0.05
3.1,25,0,0.05
3.1,50,0,0.05
3.1,75,0,0.05
3.2,25,0,0.05
3.2,50,0,0.05
3.2,75,0,0.05
3.3,25,0,0.05
3.3,50,0,0.05
3.3,75,0,0.05
3.4,25,0,0.05
3.4,50,0,0.05
3.4,75,0,0.05
3.5,25,0,0.05
3.5,50,0,0.05
3.5,75,0,0.05
3.6,25,0,0.05
3.6,50,0,0.05
3.6,75,0,0.05
3.7,25,0,0.05
3.7,50,0,0.05
3.7,75,0,0.05
3.8,25,0,0.05
3.8,50,0,0.05
3.8,75,0,0.05
3.9,25,0,0.05
3.9,50,0,0.05
3.9,75,0,0.05
4,25,0,0.05
4,50,0,0.05
4,75,0,0.05
4.1,25,0,0.05
4.1,50,0,0.05
4.1,75,0,0.05
4.2,25,0,0.05
4.2,50,0,0.05
4.2,75,0,0.05
4.3,25,0,0.05
4.3,50,0,0.05
4.3,75,0,0.05
4.4,25,0,0.05
4.4,50,0,0.05
4.4,75,0,0.05
4.5,25,0,0.05
4.5,50,0,0.05
4.5,75,0,0.05
4.6,25,0,0.05
4.6,50,0,0.05
4.6,75,0,0.05
4.7,25,0,0.05
4.7,50,0,0.05
4.7,75,0,0.05
4.8,25,0,0.05
4.8,50,0,0.05
4.8,75,0,0.05
4.9,25,0,0.05
4.9,50,0,0.05
4.9,75,0,0.05
5,25,0,0.05
5,50,0,0.05
5,75,0,0.05
5.1,25,0,0.05
5.1,50,0,0.05
5.1,75,0,0.05
5.2,25,0,0.05
5.2,50,0,0.05
5.2,75,0,0.05
5.3,25,0,0.05
5.3,50,0,0.05
5.3,75,0,0.05
5.4,25,0,0.05
5.4,50,0,0.05
5.4,75,0,0.05
5.5,25,0,0.05
5.5,50,0,0.05
5.5,75,0,0.05
5.6,25,0,0.05
5.6,50,0,0.05
5.6,75,0,0.05
5.7,25,0,0.05
5.7,50,0,0.05
5.7,75,0,0.05
5.8,25,0,0.05
5.8,50,0,0.05
5.8,75,0,0.05
5.9,25,0,0.05
5.9,50,0,0.05
5.9,75,0,0.05
6,25,0,0.05
6,50,0,0.05
6,75,0,0.05
6.1,25,0,0.05
6.1,50,0,0.05
6.1,75,0,0.05
6.2,25,0,0.05
6.2,50,0,0.05
6.2,75,0,0.05
6.3,25,0,0.05
6.3,50,0,0.05
6.3,75,0,0.05
6.4,25,0,0.05
6.4,50,0,0.05
6.4,75,0,0.05
6.5,25,0,0.05
6.5,50,0,0.05
6.5,75,0,0.05
6.6,25,0,0.05
6.6,50,0,0.05
6.6,75,0,0.05
6.7,25,0,0.05
6.7,50,0,0.05
6.7,75,0,0.05
6.8,25,0,0.05
6.8,50,0,0.05
6.8,75,0,0.05
6.9,25,0,0.05
6.9,50,0,0.05
6.9,75,0,0.05
7,25,0,0.05
7,50,0,0.05
7,75,0,0.05
7.1,25,0,0.05
7.1,50,0,0.05
7.1,75,0,0.05
7.2,25,0,0.05
7.2,50,0,0.05
7.2,75,0,0.05
7.3,25,0,0.05
7.3,50,0,0.05
7.3,75,0,0.05
7.4,25,0,0.05
7.4,50,0,0.05
7.4,75,0,0.05
7.5,25,0,0.05
7.5,50,0,0.05
7.5,75,0,0.05
7.6,25,0,0.05
7.6,50,0,0.05
7.6,75,0,0.05
7.7,25,0,0.05
7.7,50,0,0.05
7.7,75,0,0.05
7.8,25,0,0.05
7.8,50,0,0.05
7.8,75,0,0.05
7.9,25,0,0.05
7.9,50,0,0.05
7.9,75,0,0.05
8,25,0,0.05
8,50,0,0.05
8,75,0,0.05
8.1,25,0,0.05
8.1,50,0,0.05
8.1,75,0,0.05
8.2,25,0,0.05
8.2,50,0,0.05
8.2,75,0,0.05
8.3,25,0,0.05
8.3,50,0,0.05
8.3,75,0,0.05
8.4,25,0,0.05
8.4,50,0,0.05
8.4,75,0,0.05
8.5,25,0,0.05
8.5,50,0,0.05
8.5,75,0,0.05
8.6,25,0,0.05
8.6,50,0,0.05
8.6,75,0,0.05
8.7,25,0,0.05
8.7,50,0,0.05
8.7,75,0,0.05
8.8,25,0,0.05
8.8,50,0,0.05
8.8,75,0,0.05
8.9,25,0,0.05
8.9,50,0,0.05
8.9,75,0,0.05
9,25,0,0.05
9,50,0,0.05
9,75,0,0.05
9.1,25,0,0.05
9.1,50,0,0.05
9.1,75,0,0.05
9.2,25,0,0.05
9.2,50,0,0.05
9.2,75,0,0.05
9.3,25,0,0.05
9.3,50,0,0.05
9.3,75,0,0.05
9.4,25,0,0.05
9.4,50,0,0.05
9.4,75,0,0.05
9.5,25,0,0.05
9.5,50,0,0.05
9.5,75,0,0.05
9.6,25,0,0.05
9.6,50,0,0.05
9.6,75,0,0.05
9.7,25,0,0.05
9.7,50,0,0.05
9.7,75,0,0.05
9.8,25,0,0.05
9.8,50,0,0.05
9.8,75,0,0.05
9.9,25,0,0.05
9.9,50,0,0.05
9.9,75,0,0.05
10,25,0,0.05
10,50,0,0.05
10,75,0,0.05
