time,index,value,std
0.100000,11.000000,0.035495,0.100000
0.100000,26.000000,0.000000,0.100000
0.100000,36.000000,0.000000,0.100000
0.200000,11.000000,0.695256,0.100000
0.200000,26.000000,0.000045,0.100000
0.200000,36.000000,0.000000,0.100000
0.300000,11.000000,1.258286,0.100000
0.300000,26.000000,0.012935,0.100000
0.300000,36.000000,0.000007,0.100000
0.400000,11.000000,0.973903,0.100000
0.400000,26.000000,0.196148,0.100000
0.400000,36.000000,0.001703,0.100000
0.500000,11.000000,0.688829,0.100000
0.500000,26.000000,0.692242,0.100000
0.500000,36.000000,0.041317,0.100000
0.600000,11.000000,1.022183,0.100000
0.600000,26.000000,1.036841,0.100000
0.600000,36.000000,0.259993,0.100000
0.700000,11.000000,1.310991,0.100000
0.700000,26.000000,0.943030,0.100000
0.700000,36.000000,0.674417,0.100000
0.800000,11.000000,0.977811,0.100000
0.800000,26.000000,0.846369,0.100000
0.800000,36.000000,0.950690,0.100000
0.900000,11.000000,0.689009,0.100000
0.900000,26.000000,1.032845,0.100000
0.900000,36.000000,0.930943,0.100000
1.000000,11.000000,1.022189,0.100000
1.000000,26.000000,1.150245,0.100000
1.000000,36.000000,0.900682,0.100000
1.100000,11.000000,1.310991,0.100000
1.100000,26.000000,0.966809,0.100000
1.100000,36.000000,1.028556,0.100000
1.200000,11.000000,0.977811,0.100000
1.200000,26.000000,0.849728,0.100000
1.200000,36.000000,1.091246,0.100000
1.300000,11.000000,0.689009,0.100000
1.300000,26.000000,1.033189,0.100000
1.300000,36.000000,0.970228,0.100000
1.400000,11.000000,1.022189,0.100000
1.400000,26.000000,1.150272,0.100000
1.400000,36.000000,0.908611,0.100000
1.500000,11.000000,1.310991,0.100000
1.500000,26.000000,0.966811,0.100000
1.500000,36.000000,1.029759,0.100000
1.600000,11.000000,0.977811,0.100000
1.600000,26.000000,0.849728,0.100000
1.600000,36.000000,1.091388,0.100000
1.700000,11.000000,0.689009,0.100000
1.700000,26.000000,1.033189,0.100000
1.700000,36.000000,0.970241,0.100000
1.800000,11.000000,1.022189,0.100000
1.800000,26.000000,1.150272,0.100000
1.800000,36.000000,0.908612,0.100000
1.900000,11.000000,1.310991,0.100000
1.900000,26.000000,0.966811,0.100000
1.900000,36.000000,1.029759,0.100000
2.000000,11.000000,0.977811,0.100000
2.000000,26.000000,0.849728,0.100000
2.000000,36.000000,1.091388,0.100000
2.100000,11.000000,0.689009,0.100000
2.100000,26.000000,1.033189,0.100000
2.100000,36.000000,0.970241,0.100000
2.200000,11.000000,1.022189,0.100000
2.200000,26.000000,1.150272,0.100000
2.200000,36.000000,0.908612,0.100000
2.300000,11.000000,1.310991,0.100000
2.300000,26.000000,0.966811,0.100000
2.300000,36.000000,1.029759,0.100000
2.400000,11.000000,0.977811,0.100000
2.400000,26.000000,0.849728,0.100000
2.400000,36.000000,1.091388,0.100000
2.500000,11.000000,0.689009,0.100000
2.500000,26.000000,1.033189,0.100000
2.500000,36.000000,0.970241,0.100000
2.600000,11.000000,1.022189,0.100000
2.600000,26.000000,1.150272,0.100000
2.600000,36.000000,0.908612,0.100000
2.700000,11.000000,1.310991,0.100000
2.700000,26.000000,0.966811,0.100000
2.700000,36.000000,1.029759,0.100000
2.800000,11.000000,0.977811,0.100000
2.800000,26.000000,0.849728,0.100000
2.800000,36.000000,1.091388,0.100000
2.900000,11.000000,0.689009,0.100000
2.900000,26.000000,1.033189,0.100000
2.900000,36.000000,0.970241,0.100000
3.000000,11.000000,1.022189,0.100000
3.000000,26.000000,1.150272,0.100000
3.000000,36.000000,0.908612,0.100000
