time,value
60,-1.4683382E+00
120,-6.1627460E-02
180,4.6469403E-01
240,8.5277511E-01
300,-7.4561748E-01
360,5.4569893E+01
420,5.9090183E+01
480,5.0526094E+01
540,5.9501693E+01
600,5.5717929E+01
660,5.7048309E+01
720,5.1719859E+01
780,5.3868119E+01
840,5.4492060E+01
900,5.5893619E+01
960,5.1707786E+01
1020,5.5991456E+01
1080,5.2622493E+01
1140,5.5180568E+01
1200,5.6352900E+01
1260,5.5702308E+01
1320,5.7213455E+01
1380,5.7060342E+01
1440,5.3746372E+01
1500,5.5562300E+01
1560,5.3159432E+01
1620,5.2404611E+01
1680,5.6897840E+01
1740,5.5048288E+01
1800,5.4938350E+01
1860,5.6870442E+01
1920,5.6237355E+01
1980,5.5748590E+01
2040,5.7548690E+01
2100,5.6907767E+01
2160,5.5527714E+01
2220,5.3667466E+01
2280,5.3745081E+01
2340,5.7432392E+01
2400,5.1824527E+01
2460,5.4999264E+01
2520,5.1150493E+01
2580,5.7089184E+01
2640,5.6771620E+01
2700,5.5050512E+01
2760,5.4906513E+01
2820,5.0075620E+01
2880,5.6210532E+01
2940,5.0663318E+01
3000,5.0409627E+01
3060,5.5208055E+01
3120,5.3151226E+01
3180,5.5871169E+01
3240,5.6402143E+01
3300,5.6763653E+01
3360,5.3665870E+01
3420,5.5946943E+01
3480,5.5249455E+01
3540,5.6700328E+01
3600,5.6120502E+01
3660,5.6843965E+01
3720,5.4784312E+01
3780,5.4753785E+01
3840,5.7063735E+01
3900,5.0800877E+01
3960,5.4039015E+01
4020,5.2506999E+01
4080,5.4283018E+01
4140,5.6345546E+01
4200,5.6699642E+01
4260,5.3018301E+01
4320,5.4106048E+01
4380,5.5322238E+01
4440,5.4464461E+01
4500,5.5651825E+01
4560,5.5848050E+01
4620,5.3188265E+01
4680,5.4694527E+01
4740,5.0783999E+01
4800,5.7338911E+01
4860,5.3790006E+01
4920,5.2640488E+01
4980,5.4540298E+01
5040,5.2190894E+01
5100,5.5006473E+01
5160,5.3926858E+01
5220,5.9403745E+01
5280,5.7325119E+01
5340,5.0054415E+01
5400,5.5930842E+01
5460,5.2251912E+01
5520,5.4538077E+01
5580,5.5376996E+01
5640,5.6543656E+01
5700,5.4502094E+01
5760,5.8200788E+01
5820,5.4086314E+01
5880,5.5703212E+01
5940,5.6377656E+01
6000,5.5218565E+01
6060,5.6810093E+01
6120,5.5694614E+01
6180,5.3479895E+01
6240,5.1437441E+01
6300,5.8765374E+01
6360,9.0534329E+01
6420,9.1950108E+01
6480,9.2869723E+01
6540,9.1970583E+01
6600,8.9933937E+01
6660,9.0807960E+01
6720,9.1493609E+01
6780,9.4701306E+01
6840,9.0021758E+01
6900,9.3312726E+01
6960,9.2360635E+01
7020,9.1275669E+01
7080,8.9629443E+01
7140,9.1175107E+01
7200,9.1570008E+01
7260,8.8804599E+01
7320,9.2127753E+01
7380,9.0098802E+01
7440,9.1554908E+01
7500,9.2415816E+01
7560,8.9934081E+01
7620,9.1166876E+01
7680,9.2443514E+01
7740,8.8071671E+01
7800,9.3815341E+01
7860,9.6592311E+01
7920,9.3662190E+01
7980,9.1111845E+01
8040,9.2600634E+01
8100,8.9671419E+01
8160,9.5499120E+01
8220,9.3624798E+01
8280,9.3318081E+01
8340,8.9991640E+01
8400,9.2383287E+01
8460,9.0626800E+01
8520,9.1120530E+01
8580,9.0603369E+01
8640,8.9691922E+01
8700,8.9925898E+01
8760,9.1323594E+01
8820,8.8345661E+01
8880,9.2958590E+01
8940,9.1507792E+01
9000,9.3141710E+01
9060,9.2282686E+01
9120,9.2731963E+01
9180,8.8777147E+01
9240,8.9702860E+01
9300,9.0849399E+01
9360,9.1962706E+01
9420,9.4000862E+01
9480,9.1163463E+01
9540,9.4266490E+01
9600,9.2694239E+01
9660,9.4091622E+01
9720,9.1997283E+01
9780,9.0429757E+01
9840,8.8780591E+01
9900,9.2054367E+01
9960,9.3380492E+01
10020,9.1158213E+01
10080,9.0661816E+01
10140,9.1126105E+01
10200,8.9550202E+01
10260,9.0757369E+01
10320,9.1381910E+01
10380,9.1835071E+01
10440,9.1615823E+01
10500,9.2966059E+01
10560,9.1962024E+01
10620,9.5371420E+01
10680,9.2367437E+01
10740,9.5352376E+01
10800,9.0297146E+01
10860,9.2796483E+01
10920,9.1222887E+01
10980,9.2943674E+01
11040,9.2931251E+01
11100,8.7371346E+01
11160,8.9089303E+01
11220,8.8861362E+01
11280,9.2547078E+01
11340,9.4683792E+01
11400,9.1089760E+01
11460,9.3368035E+01
11520,9.2834469E+01
11580,8.9640124E+01
11640,9.2538323E+01
11700,9.0239599E+01
11760,9.4775923E+01
11820,9.1678256E+01
11880,9.5015388E+01
11940,9.0893272E+01
12000,9.2922256E+01
12060,9.1617806E+01
12120,8.7699471E+01
12180,8.9779126E+01
12240,9.2968412E+01
12300,9.1633617E+01
12360,8.9505925E+01
12420,9.0490632E+01
12480,9.2242424E+01
12540,8.9757351E+01
12600,9.3693289E+01
12660,9.0461970E+01
12720,9.5361114E+01
12780,8.9583656E+01
12840,9.2141768E+01
12900,8.8701336E+01
12960,9.0296127E+01
13020,9.0556888E+01
13080,9.2546062E+01
13140,9.3627656E+01
13200,9.2344361E+01
13260,9.0997248E+01
13320,9.3374366E+01
13380,9.3341163E+01
13440,9.1983800E+01
13500,9.2885884E+01
13560,9.2568981E+01
13620,8.9769465E+01
13680,9.3262526E+01
13740,9.0428986E+01
13800,9.0535552E+01
13860,7.3749682E+01
13920,7.2780781E+01
13980,7.3132148E+01
14040,7.4586504E+01
14100,7.5489454E+01
14160,7.2999871E+01
14220,7.4051145E+01
14280,7.2919185E+01
14340,7.3854982E+01
14400,7.4275784E+01
14460,7.2162057E+01
14520,7.3945462E+01
14580,7.4597992E+01
14640,7.3580404E+01
14700,7.6855471E+01
14760,7.2178674E+01
14820,7.1921669E+01
14880,6.9896030E+01
14940,7.5216754E+01
15000,7.5129953E+01
