time,value
60,1.3473974E+00
120,-1.3382260E+00
180,-8.0064540E-01
240,-1.3436049E+00
300,1.1512580E+00
360,1.7203579E+01
420,1.6632644E+01
480,1.9865723E+01
540,1.7912909E+01
600,1.9482941E+01
660,1.8070325E+01
720,1.9313185E+01
780,1.3645205E+01
840,1.9705832E+01
900,2.2481225E+01
960,2.0852682E+01
1020,2.0595897E+01
1080,1.8294641E+01
1140,1.9136100E+01
1200,1.9262603E+01
1260,1.8966889E+01
1320,1.7113166E+01
1380,1.8069599E+01
1440,1.8424553E+01
1500,1.7812797E+01
1560,2.0447777E+01
1620,2.3850802E+01
1680,1.6127435E+01
1740,1.9030784E+01
1800,1.5889345E+01
1860,2.1379120E+01
1920,2.1593926E+01
1980,1.5449017E+01
2040,2.2661472E+01
2100,1.6604707E+01
2160,1.9227741E+01
2220,2.0971962E+01
2280,1.9068481E+01
2340,2.3365435E+01
2400,2.4279219E+01
2460,1.9050739E+01
2520,1.4959971E+01
2580,1.8044117E+01
2640,1.7077883E+01
2700,1.7244597E+01
2760,1.6518714E+01
2820,1.8930481E+01
2880,2.2987363E+01
2940,1.7342409E+01
3000,1.8213072E+01
3060,2.1107053E+01
3120,2.1199746E+01
3180,1.9745185E+01
3240,2.0826136E+01
3300,2.0515555E+01
3360,1.8010588E+01
3420,1.9631889E+01
3480,1.8175842E+01
3540,1.6974366E+01
3600,2.0043594E+01
3660,1.8909011E+01
3720,1.8399862E+01
3780,1.9357558E+01
3840,2.0749493E+01
3900,1.9559973E+01
3960,1.9163206E+01
4020,1.9333673E+01
4080,1.8876544E+01
4140,1.7225171E+01
4200,2.0347667E+01
4260,2.1591917E+01
4320,1.7705906E+01
4380,2.2629620E+01
4440,1.8421608E+01
4500,1.8286603E+01
4560,1.6978902E+01
4620,1.7189430E+01
4680,1.6868154E+01
4740,1.9481914E+01
4800,2.1968156E+01
4860,1.9829044E+01
4920,2.0482508E+01
4980,2.1457796E+01
5040,1.3775037E+01
5100,1.8438985E+01
5160,1.9480134E+01
5220,2.0208611E+01
5280,1.6164400E+01
5340,1.6762366E+01
5400,2.0355470E+01
5460,1.8540961E+01
5520,1.9880283E+01
5580,1.6852814E+01
5640,1.5506499E+01
5700,2.0296504E+01
5760,2.1160718E+01
5820,2.2038218E+01
5880,1.5709724E+01
5940,1.6100399E+01
6000,1.5826410E+01
6060,1.8690777E+01
6120,1.7543089E+01
6180,2.1402413E+01
6240,1.5863970E+01
6300,1.5289405E+01
6360,3.1691224E+01
6420,3.3666475E+01
6480,2.9674968E+01
6540,2.8749342E+01
6600,3.0981952E+01
6660,2.8007721E+01
6720,3.1315303E+01
6780,3.2937389E+01
6840,3.1716091E+01
6900,2.7462125E+01
6960,3.0206971E+01
7020,3.0676550E+01
7080,3.4907779E+01
7140,3.3110318E+01
7200,3.1166453E+01
7260,3.3899339E+01
7320,2.9191143E+01
7380,3.0584081E+01
7440,3.4105737E+01
7500,3.4285380E+01
7560,3.2741366E+01
7620,3.2262119E+01
7680,3.0108362E+01
7740,3.2770414E+01
7800,2.9624304E+01
7860,3.2429656E+01
7920,3.1844297E+01
7980,3.3559227E+01
8040,3.0428879E+01
8100,3.2552894E+01
8160,3.2866971E+01
8220,2.9483860E+01
8280,3.1593104E+01
8340,3.4475122E+01
8400,3.1505494E+01
8460,3.0663365E+01
8520,3.2193934E+01
8580,3.0730413E+01
8640,3.2166902E+01
8700,3.1011084E+01
8760,3.1243958E+01
8820,3.2202193E+01
8880,3.4005245E+01
8940,3.2184364E+01
9000,3.4577382E+01
9060,2.7223890E+01
9120,3.0382101E+01
9180,3.1752601E+01
9240,2.9610268E+01
9300,2.8728704E+01
9360,3.2514685E+01
9420,3.2506017E+01
9480,3.1859377E+01
9540,3.2071247E+01
9600,2.9539489E+01
9660,3.0285238E+01
9720,3.1067271E+01
9780,2.9904956E+01
9840,3.1944376E+01
9900,3.6011064E+01
9960,3.0316153E+01
10020,3.2575511E+01
10080,2.9211765E+01
10140,3.3959724E+01
10200,2.9342334E+01
10260,3.1698046E+01
10320,3.0043428E+01
10380,3.2304646E+01
10440,3.1303323E+01
10500,3.1192637E+01
10560,3.7178799E+01
10620,3.0020522E+01
10680,3.1186856E+01
10740,3.6646665E+01
10800,2.8987233E+01
10860,3.2386612E+01
10920,2.9127698E+01
10980,3.3341894E+01
11040,3.1935674E+01
11100,3.2584864E+01
11160,3.0722892E+01
11220,3.1770998E+01
11280,3.4225641E+01
11340,2.6730411E+01
11400,2.8014033E+01
11460,3.2111552E+01
11520,2.9971077E+01
11580,3.0687918E+01
11640,2.8286777E+01
11700,2.9470945E+01
11760,3.0472251E+01
11820,2.9829018E+01
11880,2.9547644E+01
11940,3.0436921E+01
12000,2.9395282E+01
12060,3.3964382E+01
12120,2.9303745E+01
12180,3.4916500E+01
12240,3.0531741E+01
12300,2.8377133E+01
12360,3.0043251E+01
12420,3.3149616E+01
12480,3.3392473E+01
12540,3.1601069E+01
12600,3.1855415E+01
12660,3.2546426E+01
12720,2.8362531E+01
12780,3.0117195E+01
12840,2.7620316E+01
12900,3.0382408E+01
12960,3.3179164E+01
13020,3.2715497E+01
13080,3.5856272E+01
13140,3.1614070E+01
13200,2.6967633E+01
13260,3.4659413E+01
13320,3.3845176E+01
13380,3.0115352E+01
13440,3.1725843E+01
13500,3.2839517E+01
13560,3.2050029E+01
13620,3.2673348E+01
13680,3.1055183E+01
13740,3.1202967E+01
13800,3.1456792E+01
13860,2.3448047E+01
13920,2.7873280E+01
13980,2.5040022E+01
14040,2.6400321E+01
14100,2.3317492E+01
14160,2.2876888E+01
14220,2.4845424E+01
14280,2.4521815E+01
14340,2.7417007E+01
14400,2.6239486E+01
14460,2.6108388E+01
14520,2.2137480E+01
14580,2.3091971E+01
14640,2.5431462E+01
14700,2.4331603E+01
14760,2.7607535E+01
14820,2.7709667E+01
14880,2.3865764E+01
14940,2.6777630E+01
15000,2.7818259E+01
