time,value
60,6.4197044E-01
120,3.2467649E+00
180,2.1248666E+00
240,4.2821048E-01
300,1.7536064E+00
360,3.8881402E-01
420,-8.2978432E-01
480,7.1691747E-01
540,7.2445336E-02
600,-7.2926234E-01
660,3.5420391E+00
720,4.4254614E-01
780,5.4607552E+00
840,-5.9233077E-01
900,1.1285911E+00
960,4.5797170E+01
1020,4.8090388E+01
1080,4.3239057E+01
1140,4.1051411E+01
1200,4.4238689E+01
1260,4.0008796E+01
1320,4.2100910E+01
1380,4.3192335E+01
1440,4.5627708E+01
1500,4.5522884E+01
1560,4.2593478E+01
1620,4.4496464E+01
1680,4.2006040E+01
1740,4.3970851E+01
1800,4.6479189E+01
1860,4.2962120E+01
1920,4.2047528E+01
1980,4.1648532E+01
2040,4.4081544E+01
2100,4.5323179E+01
2160,4.6899961E+01
2220,4.2756693E+01
2280,4.2974673E+01
2340,4.1383188E+01
2400,4.5872584E+01
2460,4.2497704E+01
2520,4.1702127E+01
2580,4.7017083E+01
2640,4.4268363E+01
2700,4.4081287E+01
2760,4.0637459E+01
2820,4.3516574E+01
2880,4.3688888E+01
2940,4.0464112E+01
3000,4.2197012E+01
3060,4.1838758E+01
3120,4.3704320E+01
3180,4.0634675E+01
3240,4.4826655E+01
3300,4.6218351E+01
3360,4.2041092E+01
3420,4.2631208E+01
3480,4.3661871E+01
3540,4.5055105E+01
3600,4.3692637E+01
3660,4.3442693E+01
3720,4.1682980E+01
3780,4.2185607E+01
3840,4.3875372E+01
3900,4.6014302E+01
3960,4.3785388E+01
4020,4.0236543E+01
4080,4.3514722E+01
4140,4.2464360E+01
4200,4.2160491E+01
4260,4.2210224E+01
4320,4.0889068E+01
4380,4.2006993E+01
4440,4.1079771E+01
4500,4.1918676E+01
4560,4.2883142E+01
4620,4.2997281E+01
4680,4.2217288E+01
4740,4.2343378E+01
4800,4.2715978E+01
4860,4.3565166E+01
4920,4.5211864E+01
4980,4.3888781E+01
5040,4.2075253E+01
5100,4.3844633E+01
5160,4.2157536E+01
5220,3.9087127E+01
5280,3.7954123E+01
5340,3.9221411E+01
5400,4.2174347E+01
5460,4.1409350E+01
5520,4.1208280E+01
5580,4.2729916E+01
5640,4.1330638E+01
5700,4.1387571E+01
5760,4.3867851E+01
5820,4.4213271E+01
5880,4.7521770E+01
5940,4.3253416E+01
6000,4.2765241E+01
6060,4.1500333E+01
6120,4.2258176E+01
6180,4.2547539E+01
6240,3.9137051E+01
6300,4.2133886E+01
6360,4.4147685E+01
6420,4.1507073E+01
6480,4.3637068E+01
6540,4.4631482E+01
6600,4.4802881E+01
6660,4.4202285E+01
6720,3.8128920E+01
6780,4.1519848E+01
6840,4.4451584E+01
6900,4.3437952E+01
6960,7.1079595E+01
7020,7.1943724E+01
7080,7.3330032E+01
7140,7.1377428E+01
7200,6.9552632E+01
7260,7.0709560E+01
7320,7.0654307E+01
7380,7.2863377E+01
7440,7.1894502E+01
7500,7.2164926E+01
7560,7.1365557E+01
7620,7.0345352E+01
7680,7.1192169E+01
7740,7.1503298E+01
7800,6.8273642E+01
7860,7.1427627E+01
7920,7.2925055E+01
7980,7.0849531E+01
8040,7.4214682E+01
8100,7.2190868E+01
8160,7.0229197E+01
8220,7.0761996E+01
8280,7.0519489E+01
8340,7.1552128E+01
8400,7.2579259E+01
8460,7.0486067E+01
8520,7.1986777E+01
8580,7.4580464E+01
8640,7.2932868E+01
8700,7.2720416E+01
8760,6.9440272E+01
8820,7.0001478E+01
8880,7.1554990E+01
8940,7.0868591E+01
9000,6.7819790E+01
9060,6.8041040E+01
9120,7.3122265E+01
9180,6.9553632E+01
9240,7.5226576E+01
9300,6.6625913E+01
9360,7.1967414E+01
9420,7.1071139E+01
9480,6.9557408E+01
9540,7.1878536E+01
9600,6.9482181E+01
9660,7.2789453E+01
9720,7.1203625E+01
9780,6.7791112E+01
9840,6.6220387E+01
9900,7.0502227E+01
9960,7.3361499E+01
10020,7.1432225E+01
10080,7.1178387E+01
10140,7.2445394E+01
10200,6.8283072E+01
10260,7.3920618E+01
10320,6.9282184E+01
10380,7.1145416E+01
10440,7.0342748E+01
10500,7.1369000E+01
10560,6.7180850E+01
10620,7.4117676E+01
10680,7.2161507E+01
