time,value
60,-3.3695177E+00
120,8.2629706E-01
180,1.0034904E+00
240,1.6612869E-01
300,3.1559610E-01
360,-1.0558850E+00
420,1.4461214E+00
480,-1.6998833E+00
540,-1.5927681E+00
600,1.4506751E+00
660,5.7585813E+01
720,5.3439936E+01
780,5.3202567E+01
840,5.5028872E+01
900,5.6357436E+01
960,5.6148690E+01
1020,5.4753015E+01
1080,5.2943911E+01
1140,5.5472250E+01
1200,5.4054257E+01
1260,5.6966622E+01
1320,5.1396299E+01
1380,5.4495187E+01
1440,5.6792163E+01
1500,5.3222851E+01
1560,5.2963074E+01
1620,5.2345456E+01
1680,5.3655274E+01
1740,5.3811674E+01
1800,5.4486206E+01
1860,5.2446026E+01
1920,5.4377800E+01
1980,5.3004974E+01
2040,5.3475268E+01
2100,5.2536383E+01
2160,1.1606307E+02
2220,1.2376776E+02
2280,1.2344309E+02
2340,1.1892186E+02
2400,1.1820254E+02
2460,1.1409036E+02
2520,1.1547745E+02
2580,1.1540782E+02
2640,1.1771723E+02
2700,1.1761261E+02
2760,1.1686358E+02
2820,1.1596606E+02
2880,1.1479493E+02
2940,1.1665727E+02
3000,1.1892493E+02
3060,1.1750135E+02
3120,1.1700870E+02
3180,1.1796159E+02
3240,1.1781512E+02
3300,1.1341373E+02
3360,1.1668418E+02
3420,1.1579471E+02
3480,1.1257858E+02
3540,1.1398953E+02
3600,1.1600686E+02
3660,1.1829749E+02
3720,1.1618805E+02
3780,1.1717113E+02
3840,1.1485067E+02
3900,1.1233203E+02
3960,1.1683446E+02
4020,1.1474427E+02
4080,1.1899181E+02
4140,1.2011682E+02
4200,1.1590324E+02
4260,1.1903236E+02
4320,1.1855393E+02
4380,1.1381654E+02
4440,1.1657992E+02
4500,1.1716887E+02
4560,1.1769262E+02
4620,1.1800021E+02
4680,1.1799542E+02
4740,1.1800343E+02
4800,1.1602147E+02
4860,1.1740512E+02
4920,1.1214083E+02
4980,1.1430993E+02
5040,1.1905056E+02
5100,1.1532515E+02
5160,1.1730175E+02
5220,1.1966289E+02
5280,1.1486881E+02
5340,1.1472806E+02
5400,1.1566119E+02
5460,1.1752874E+02
5520,1.1623710E+02
5580,1.1469102E+02
5640,1.1350074E+02
5700,1.1590611E+02
5760,1.1620434E+02
5820,1.1557621E+02
5880,1.1612269E+02
5940,1.1445580E+02
6000,1.1774510E+02
6060,1.1229739E+02
6120,1.1693586E+02
6180,1.1798470E+02
6240,1.1494897E+02
6300,1.1653245E+02
6360,1.1723020E+02
6420,1.1541739E+02
6480,1.1661935E+02
6540,1.1747086E+02
6600,1.1477233E+02
6660,1.1831695E+02
6720,1.1883571E+02
6780,1.1728899E+02
6840,1.1667686E+02
6900,1.1431765E+02
6960,1.1763631E+02
7020,1.1421493E+02
7080,1.1982821E+02
7140,1.1769958E+02
7200,1.1717627E+02
7260,1.1585944E+02
7320,1.1229401E+02
7380,1.1425532E+02
7440,1.1737729E+02
7500,1.2147152E+02
7560,1.1812713E+02
7620,1.1726612E+02
7680,1.1556266E+02
7740,1.1689120E+02
7800,1.1857119E+02
7860,1.1613868E+02
7920,1.2043014E+02
7980,1.1420612E+02
8040,1.1589416E+02
8100,1.1675149E+02
8160,1.5434896E+02
8220,1.5938767E+02
8280,1.5841242E+02
8340,1.5841823E+02
8400,1.5984625E+02
8460,1.6034421E+02
8520,1.5986120E+02
8580,1.5731918E+02
8640,1.5816365E+02
8700,1.5896374E+02
8760,1.5574323E+02
8820,1.5618477E+02
8880,1.5740290E+02
8940,1.5841217E+02
9000,1.6183869E+02
9060,1.5985136E+02
9120,1.5737183E+02
9180,1.5699865E+02
9240,1.6132442E+02
9300,1.6372391E+02
9360,1.5859171E+02
9420,1.5729910E+02
9480,1.5543152E+02
9540,1.6020681E+02
9600,1.5883627E+02
9660,1.3890256E+02
9720,1.3475433E+02
9780,1.3705289E+02
9840,1.3526365E+02
9900,1.3912165E+02
9960,1.3546936E+02
10020,1.3639692E+02
10080,1.3587610E+02
10140,1.3855967E+02
10200,1.3742861E+02
10260,1.3456337E+02
10320,1.3530636E+02
10380,1.3448032E+02
10440,1.3758315E+02
10500,1.3723565E+02
10560,1.3330092E+02
10620,1.3275806E+02
10680,1.3649094E+02
10740,1.3796613E+02
10800,1.3690935E+02
10860,1.3348415E+02
10920,1.3346814E+02
10980,1.3830590E+02
11040,1.3628099E+02
11100,1.3579926E+02
11160,1.3920415E+02
11220,1.3497881E+02
11280,1.3684262E+02
11340,1.3740735E+02
11400,1.3821150E+02
11460,1.3486303E+02
11520,1.3728638E+02
11580,1.4206867E+02
11640,1.3354579E+02
11700,1.3743970E+02
11760,1.3611221E+02
11820,1.3491757E+02
11880,1.3490778E+02
11940,1.3756754E+02
12000,1.4120299E+02
12060,1.3498409E+02
12120,1.3765366E+02
12180,1.3545362E+02
12240,1.4052487E+02
12300,1.3766106E+02
12360,1.3629593E+02
12420,1.3781149E+02
12480,1.3656058E+02
12540,1.3878614E+02
12600,1.3620056E+02
12660,1.3432891E+02
12720,1.3706464E+02
12780,1.3969382E+02
12840,1.3417850E+02
12900,1.3608705E+02
12960,1.3858140E+02
13020,1.3273149E+02
13080,1.3782263E+02
13140,1.3807766E+02
13200,1.3699871E+02
13260,1.3503127E+02
13320,1.3655747E+02
13380,1.3675811E+02
13440,1.3844224E+02
13500,1.3789878E+02
13560,1.3587128E+02
13620,1.3981150E+02
13680,1.3647007E+02
13740,1.3494635E+02
13800,1.3569490E+02
13860,1.3828896E+02
13920,1.3696217E+02
13980,1.3834947E+02
14040,1.3671018E+02
14100,1.4154538E+02
14160,1.3324045E+02
14220,1.3573988E+02
14280,1.3640329E+02
14340,1.3675024E+02
14400,1.3948404E+02
14460,1.3701065E+02
14520,1.3634199E+02
14580,1.3670895E+02
14640,1.3807473E+02
14700,1.3519289E+02
14760,1.3747337E+02
14820,1.3344169E+02
14880,1.3641415E+02
14940,1.3468816E+02
15000,1.3526602E+02
