time,index,value,std
0.0, 0.0, 3.149, 0.2
0.1, 0.0, 3.252, 0.2
0.2, 0.0, 2.966, 0.2
0.3, 0.0, 2.645, 0.2
0.4, 0.0, 1.711, 0.2
0.5, 0.0, 0.699, 0.2
0.6, 0.0, 0.686, 0.2
0.7, 0.0, -0.366, 0.2
0.8, 0.0, -1.510, 0.2
0.9, 0.0, -2.326, 0.2
1.0, 0.0, -2.996, 0.2
1.1, 0.0, -3.776, 0.2
1.2, 0.0, -4.371, 0.2
1.3, 0.0, -5.410, 0.2
1.4, 0.0, -6.008, 0.2
1.5, 0.0, -7.476, 0.2
1.6, 0.0, -8.312, 0.2
1.7, 0.0, -8.750, 0.2
1.8, 0.0, -9.226, 0.2
1.9, 0.0, -9.442, 0.2
2.0, 0.0, -9.694, 0.2
2.1, 0.0, -10.472, 0.2
2.2, 0.0, -11.842, 0.2
2.3, 0.0, -12.659, 0.2
2.4, 0.0, -14.473, 0.2
2.5, 0.0, -15.060, 0.2
2.6, 0.0, -15.636, 0.2
2.7, 0.0, -15.772, 0.2
2.8, 0.0, -16.355, 0.2
2.9, 0.0, -16.916, 0.2
3.0, 0.0, -18.511, 0.2
3.1, 0.0, -19.579, 0.2
3.2, 0.0, -19.532, 0.2
3.3, 0.0, -19.946, 0.2
3.4, 0.0, -21.266, 0.2
3.5, 0.0, -21.493, 0.2
3.6, 0.0, -22.424, 0.2
3.7, 0.0, -22.903, 0.2
3.8, 0.0, -23.397, 0.2
3.9, 0.0, -23.993, 0.2
4.0, 0.0, -23.843, 0.2
4.1, 0.0, -25.035, 0.2
4.2, 0.0, -26.547, 0.2
4.3, 0.0, -27.590, 0.2
4.4, 0.0, -27.433, 0.2
4.5, 0.0, -27.409, 0.2
4.6, 0.0, -27.301, 0.2
4.7, 0.0, -26.718, 0.2
4.8, 0.0, -25.969, 0.2
4.9, 0.0, -25.178, 0.2
5.0, 0.0, -25.049, 0.2
5.1, 0.0, -23.799, 0.2
5.2, 0.0, -22.980, 0.2
5.3, 0.0, -22.400, 0.2
5.4, 0.0, -22.450, 0.2
5.5, 0.0, -22.861, 0.2
5.6, 0.0, -22.547, 0.2
5.7, 0.0, -22.347, 0.2
5.8, 0.0, -23.748, 0.2
5.9, 0.0, -24.302, 0.2
6.0, 0.0, -25.403, 0.2
6.1, 0.0, -25.460, 0.2
6.2, 0.0, -26.224, 0.2
6.3, 0.0, -27.229, 0.2
6.4, 0.0, -27.944, 0.2
6.5, 0.0, -27.448, 0.2
6.6, 0.0, -26.893, 0.2
6.7, 0.0, -26.714, 0.2
6.8, 0.0, -26.387, 0.2
6.9, 0.0, -26.368, 0.2
7.0, 0.0, -24.789, 0.2
7.1, 0.0, -24.345, 0.2
7.2, 0.0, -23.844, 0.2
7.3, 0.0, -23.354, 0.2
7.4, 0.0, -22.977, 0.2
7.5, 0.0, -23.198, 0.2
7.6, 0.0, -22.345, 0.2
7.7, 0.0, -23.323, 0.2
7.8, 0.0, -24.181, 0.2
7.9, 0.0, -25.566, 0.2
8.0, 0.0, -26.302, 0.2
8.1, 0.0, -25.910, 0.2
8.2, 0.0, -26.988, 0.2
8.3, 0.0, -26.600, 0.2
8.4, 0.0, -25.872, 0.2
8.5, 0.0, -25.660, 0.2
8.6, 0.0, -24.028, 0.2
8.7, 0.0, -23.553, 0.2
8.8, 0.0, -23.790, 0.2
8.9, 0.0, -23.565, 0.2
9.0, 0.0, -24.720, 0.2
9.1, 0.0, -25.765, 0.2
9.2, 0.0, -26.676, 0.2
9.3, 0.0, -27.514, 0.2
9.4, 0.0, -27.794, 0.2
9.5, 0.0, -28.190, 0.2
9.6, 0.0, -28.488, 0.2
9.7, 0.0, -29.061, 0.2
9.8, 0.0, -30.062, 0.2
9.9, 0.0, -31.667, 0.2
10.0, 0.0, -31.855, 0.2
10.1, 0.0, -32.422, 0.2
10.2, 0.0, -33.083, 0.2
10.3, 0.0, -33.620, 0.2
10.4, 0.0, -34.151, 0.2
10.5, 0.0, -35.161, 0.2
10.6, 0.0, -35.762, 0.2
10.7, 0.0, -36.470, 0.2
10.8, 0.0, -36.987, 0.2
10.9, 0.0, -37.300, 0.2
11.0, 0.0, -38.693, 0.2
11.1, 0.0, -39.579, 0.2
11.2, 0.0, -40.324, 0.2
11.3, 0.0, -41.386, 0.2
11.4, 0.0, -41.573, 0.2
11.5, 0.0, -41.771, 0.2
11.6, 0.0, -42.857, 0.2
11.7, 0.0, -44.019, 0.2
11.8, 0.0, -45.084, 0.2
11.9, 0.0, -45.933, 0.2
12.0, 0.0, -46.432, 0.2
12.1, 0.0, -45.791, 0.2
12.2, 0.0, -45.004, 0.2
12.3, 0.0, -44.001, 0.2
12.4, 0.0, -42.775, 0.2
12.5, 0.0, -42.385, 0.2
12.6, 0.0, -41.397, 0.2
12.7, 0.0, -41.812, 0.2
12.8, 0.0, -42.168, 0.2
12.9, 0.0, -43.441, 0.2
13.0, 0.0, -44.966, 0.2
13.1, 0.0, -45.713, 0.2
13.2, 0.0, -45.628, 0.2
13.3, 0.0, -45.322, 0.2
13.4, 0.0, -45.448, 0.2
13.5, 0.0, -44.430, 0.2
13.6, 0.0, -43.623, 0.2
13.7, 0.0, -42.737, 0.2
13.8, 0.0, -42.286, 0.2
13.9, 0.0, -41.830, 0.2
14.0, 0.0, -42.755, 0.2
14.1, 0.0, -43.905, 0.2
14.2, 0.0, -45.092, 0.2
14.3, 0.0, -45.585, 0.2
14.4, 0.0, -45.629, 0.2
14.5, 0.0, -45.282, 0.2
14.6, 0.0, -45.510, 0.2
14.7, 0.0, -44.672, 0.2
14.8, 0.0, -43.288, 0.2
14.9, 0.0, -42.682, 0.2
15.0, 0.0, -42.218, 0.2
15.1, 0.0, -42.352, 0.2
15.2, 0.0, -42.276, 0.2
15.3, 0.0, -42.982, 0.2
15.4, 0.0, -43.664, 0.2
15.5, 0.0, -45.062, 0.2
15.6, 0.0, -46.242, 0.2
15.7, 0.0, -46.759, 0.2
15.8, 0.0, -47.352, 0.2
15.9, 0.0, -47.675, 0.2
16.0, 0.0, -47.494, 0.2
16.1, 0.0, -48.149, 0.2
16.2, 0.0, -48.885, 0.2
16.3, 0.0, -49.949, 0.2
16.4, 0.0, -51.366, 0.2
16.5, 0.0, -52.088, 0.2
16.6, 0.0, -51.797, 0.2
16.7, 0.0, -51.609, 0.2
16.8, 0.0, -50.919, 0.2
16.9, 0.0, -49.556, 0.2
17.0, 0.0, -49.476, 0.2
17.1, 0.0, -48.863, 0.2
17.2, 0.0, -48.561, 0.2
17.3, 0.0, -48.830, 0.2
17.4, 0.0, -50.829, 0.2
17.5, 0.0, -51.297, 0.2
17.6, 0.0, -52.020, 0.2
17.7, 0.0, -51.989, 0.2
17.8, 0.0, -51.758, 0.2
17.9, 0.0, -51.523, 0.2
18.0, 0.0, -51.345, 0.2
18.1, 0.0, -50.102, 0.2
18.2, 0.0, -49.173, 0.2
18.3, 0.0, -48.864, 0.2
18.4, 0.0, -48.684, 0.2
18.5, 0.0, -47.812, 0.2
18.6, 0.0, -47.612, 0.2
18.7, 0.0, -47.288, 0.2
18.8, 0.0, -46.780, 0.2
18.9, 0.0, -46.519, 0.2
19.0, 0.0, -46.117, 0.2
19.1, 0.0, -45.136, 0.2
19.2, 0.0, -44.281, 0.2
19.3, 0.0, -42.875, 0.2
19.4, 0.0, -42.384, 0.2
19.5, 0.0, -42.315, 0.2
19.6, 0.0, -42.405, 0.2
19.7, 0.0, -42.079, 0.2
19.8, 0.0, -42.812, 0.2
19.9, 0.0, -43.998, 0.2
20.0, 0.0, -45.419, 0.2
20.1, 0.0, -45.000, 0.2
20.2, 0.0, -45.686, 0.2
20.3, 0.0, -46.363, 0.2
20.4, 0.0, -46.593, 0.2
20.5, 0.0, -45.979, 0.2
20.6, 0.0, -45.244, 0.2
20.7, 0.0, -43.794, 0.2
20.8, 0.0, -43.782, 0.2
20.9, 0.0, -43.436, 0.2
21.0, 0.0, -42.420, 0.2
21.1, 0.0, -41.802, 0.2
21.2, 0.0, -41.502, 0.2
21.3, 0.0, -41.908, 0.2
21.4, 0.0, -42.436, 0.2
21.5, 0.0, -43.249, 0.2
21.6, 0.0, -43.145, 0.2
21.7, 0.0, -44.089, 0.2
21.8, 0.0, -45.624, 0.2
21.9, 0.0, -45.114, 0.2
22.0, 0.0, -45.521, 0.2
22.1, 0.0, -45.640, 0.2
22.2, 0.0, -45.993, 0.2
22.3, 0.0, -46.141, 0.2
22.4, 0.0, -45.158, 0.2
22.5, 0.0, -43.979, 0.2
22.6, 0.0, -43.028, 0.2
22.7, 0.0, -43.487, 0.2
22.8, 0.0, -42.429, 0.2
22.9, 0.0, -42.166, 0.2
23.0, 0.0, -42.750, 0.2
23.1, 0.0, -43.368, 0.2
23.2, 0.0, -44.176, 0.2
23.3, 0.0, -45.355, 0.2
23.4, 0.0, -45.950, 0.2
23.5, 0.0, -45.089, 0.2
23.6, 0.0, -45.332, 0.2
23.7, 0.0, -45.022, 0.2
23.8, 0.0, -43.929, 0.2
23.9, 0.0, -42.661, 0.2
24.0, 0.0, -41.688, 0.2
24.1, 0.0, -41.231, 0.2
24.2, 0.0, -40.579, 0.2
24.3, 0.0, -40.281, 0.2
24.4, 0.0, -38.971, 0.2
24.5, 0.0, -37.988, 0.2
24.6, 0.0, -36.692, 0.2
24.7, 0.0, -35.814, 0.2
24.8, 0.0, -35.136, 0.2
24.9, 0.0, -35.471, 0.2
25.0, 0.0, -36.191, 0.2
25.1, 0.0, -37.007, 0.2
25.2, 0.0, -38.518, 0.2
25.3, 0.0, -37.882, 0.2
25.4, 0.0, -38.827, 0.2
25.5, 0.0, -39.176, 0.2
25.6, 0.0, -38.345, 0.2
25.7, 0.0, -38.331, 0.2
25.8, 0.0, -37.577, 0.2
25.9, 0.0, -36.429, 0.2
26.0, 0.0, -36.620, 0.2
26.1, 0.0, -36.019, 0.2
26.2, 0.0, -36.545, 0.2
26.3, 0.0, -37.574, 0.2
26.4, 0.0, -38.984, 0.2
26.5, 0.0, -40.044, 0.2
26.6, 0.0, -40.588, 0.2
26.7, 0.0, -40.849, 0.2
26.8, 0.0, -40.860, 0.2
26.9, 0.0, -41.137, 0.2
27.0, 0.0, -41.572, 0.2
27.1, 0.0, -42.459, 0.2
27.2, 0.0, -43.203, 0.2
27.3, 0.0, -43.515, 0.2
27.4, 0.0, -43.724, 0.2
27.5, 0.0, -44.841, 0.2
27.6, 0.0, -45.731, 0.2
27.7, 0.0, -46.414, 0.2
27.8, 0.0, -45.897, 0.2
27.9, 0.0, -45.921, 0.2
28.0, 0.0, -45.443, 0.2
28.1, 0.0, -45.515, 0.2
28.2, 0.0, -45.007, 0.2
28.3, 0.0, -43.763, 0.2
28.4, 0.0, -42.855, 0.2
28.5, 0.0, -42.968, 0.2
28.6, 0.0, -42.019, 0.2
28.7, 0.0, -42.071, 0.2
28.8, 0.0, -41.862, 0.2
28.9, 0.0, -42.097, 0.2
29.0, 0.0, -42.229, 0.2
29.1, 0.0, -43.203, 0.2
29.2, 0.0, -44.759, 0.2
29.3, 0.0, -46.204, 0.2
29.4, 0.0, -46.253, 0.2
29.5, 0.0, -45.960, 0.2
29.6, 0.0, -45.059, 0.2
29.7, 0.0, -44.072, 0.2
29.8, 0.0, -43.266, 0.2
29.9, 0.0, -41.913, 0.2
