time,index,value,std
0.0, 0.0, 3.141, 0.2
0.0, 1.0, 1.583, 0.2
0.1, 0.0, 3.119, 0.2
0.1, 1.0, 1.517, 0.2
0.2, 0.0, 2.815, 0.2
0.2, 1.0, 0.530, 0.2
0.3, 0.0, 2.666, 0.2
0.3, 1.0, -0.804, 0.2
0.4, 0.0, 1.059, 0.2
0.4, 1.0, -3.081, 0.2
0.5, 0.0, 1.027, 0.2
0.5, 1.0, -4.203, 0.2
0.6, 0.0, 0.906, 0.2
0.6, 1.0, -7.114, 0.2
0.7, 0.0, -0.273, 0.2
0.7, 1.0, -8.105, 0.2
0.8, 0.0, -1.668, 0.2
0.8, 1.0, -6.813, 0.2
0.9, 0.0, -2.347, 0.2
0.9, 1.0, -6.183, 0.2
1.0, 0.0, -2.997, 0.2
1.0, 1.0, -7.111, 0.2
1.1, 0.0, -3.746, 0.2
1.1, 1.0, -6.952, 0.2
1.2, 0.0, -3.946, 0.2
1.2, 1.0, -7.516, 0.2
1.3, 0.0, -5.265, 0.2
1.3, 1.0, -7.512, 0.2
1.4, 0.0, -6.305, 0.2
1.4, 1.0, -6.379, 0.2
1.5, 0.0, -7.564, 0.2
1.5, 1.0, -4.655, 0.2
1.6, 0.0, -8.299, 0.2
1.6, 1.0, -5.244, 0.2
1.7, 0.0, -9.032, 0.2
1.7, 1.0, -4.621, 0.2
1.8, 0.0, -9.326, 0.2
1.8, 1.0, -4.873, 0.2
1.9, 0.0, -9.043, 0.2
1.9, 1.0, -5.111, 0.2
2.0, 0.0, -10.036, 0.2
2.0, 1.0, -5.935, 0.2
2.1, 0.0, -10.576, 0.2
2.1, 1.0, -6.999, 0.2
2.2, 0.0, -11.892, 0.2
2.2, 1.0, -7.190, 0.2
2.3, 0.0, -12.877, 0.2
2.3, 1.0, -5.831, 0.2
2.4, 0.0, -14.273, 0.2
2.4, 1.0, -5.288, 0.2
2.5, 0.0, -14.773, 0.2
2.5, 1.0, -5.406, 0.2
2.6, 0.0, -15.135, 0.2
2.6, 1.0, -5.051, 0.2
2.7, 0.0, -16.013, 0.2
2.7, 1.0, -5.390, 0.2
2.8, 0.0, -16.395, 0.2
2.8, 1.0, -5.702, 0.2
2.9, 0.0, -17.028, 0.2
2.9, 1.0, -6.017, 0.2
3.0, 0.0, -18.529, 0.2
3.0, 1.0, -5.054, 0.2
3.1, 0.0, -19.731, 0.2
3.1, 1.0, -5.614, 0.2
3.2, 0.0, -19.390, 0.2
3.2, 1.0, -7.922, 0.2
