time,index,value,std
0.0, 0.0, 3.141, 2.0
0.0, 1.0, 1.583, 2.0
0.1, 0.0, 3.119, 2.0
0.1, 1.0, 1.517, 2.0
0.2, 0.0, 2.815, 2.0
0.2, 1.0, 0.530, 2.0
0.3, 0.0, 2.666, 2.0
0.3, 1.0, -0.804, 2.0
0.4, 0.0, 1.059, 2.0
0.4, 1.0, -3.081, 2.0
0.5, 0.0, 1.027, 2.0
0.5, 1.0, -4.203, 2.0
0.6, 0.0, 0.906, 2.0
0.6, 1.0, -7.114, 2.0
0.7, 0.0, -0.273, 2.0
0.7, 1.0, -8.105, 2.0
0.8, 0.0, -1.668, 2.0
0.8, 1.0, -6.813, 2.0
0.9, 0.0, -2.347, 2.0
0.9, 1.0, -6.183, 2.0
1.0, 0.0, -2.997, 2.0
1.0, 1.0, -7.111, 2.0
1.1, 0.0, -3.746, 2.0
1.1, 1.0, -6.952, 2.0
1.2, 0.0, -3.946, 2.0
1.2, 1.0, -7.516, 2.0
1.3, 0.0, -5.265, 2.0
1.3, 1.0, -7.512, 2.0
1.4, 0.0, -6.305, 2.0
1.4, 1.0, -6.379, 2.0
1.5, 0.0, -7.564, 2.0
1.5, 1.0, -4.655, 2.0
1.6, 0.0, -8.299, 2.0
1.6, 1.0, -5.244, 2.0
1.7, 0.0, -9.032, 2.0
1.7, 1.0, -4.621, 2.0
1.8, 0.0, -9.326, 2.0
1.8, 1.0, -4.873, 2.0
1.9, 0.0, -9.043, 2.0
1.9, 1.0, -5.111, 2.0
2.0, 0.0, -10.036, 2.0
2.0, 1.0, -5.935, 2.0
2.1, 0.0, -10.576, 2.0
2.1, 1.0, -6.999, 2.0
2.2, 0.0, -11.892, 2.0
2.2, 1.0, -7.190, 2.0
2.3, 0.0, -12.877, 2.0
2.3, 1.0, -5.831, 2.0
2.4, 0.0, -14.273, 2.0
2.4, 1.0, -5.288, 2.0
2.5, 0.0, -14.773, 2.0
2.5, 1.0, -5.406, 2.0
2.6, 0.0, -15.135, 2.0
2.6, 1.0, -5.051, 2.0
2.7, 0.0, -16.013, 2.0
2.7, 1.0, -5.390, 2.0
2.8, 0.0, -16.395, 2.0
2.8, 1.0, -5.702, 2.0
2.9, 0.0, -17.028, 2.0
2.9, 1.0, -6.017, 2.0
3.0, 0.0, -18.529, 2.0
3.0, 1.0, -5.054, 2.0
3.1, 0.0, -19.731, 2.0
3.1, 1.0, -5.614, 2.0
3.2, 0.0, -19.390, 2.0
3.2, 1.0, -7.922, 2.0
3.3, 0.0, -20.158, 2.0
3.3, 1.0, -9.446, 2.0
3.4, 0.0, -20.774, 2.0
3.4, 1.0, -11.177, 2.0
3.5, 0.0, -21.828, 2.0
3.5, 1.0, -12.683, 2.0
3.6, 0.0, -22.044, 2.0
3.6, 1.0, -13.329, 2.0
3.7, 0.0, -23.119, 2.0
3.7, 1.0, -14.318, 2.0
3.8, 0.0, -23.762, 2.0
3.8, 1.0, -15.236, 2.0
3.9, 0.0, -24.309, 2.0
3.9, 1.0, -16.789, 2.0
4.0, 0.0, -24.262, 2.0
4.0, 1.0, -18.931, 2.0
4.1, 0.0, -25.532, 2.0
4.1, 1.0, -19.837, 2.0
4.2, 0.0, -26.355, 2.0
4.2, 1.0, -19.392, 2.0
4.3, 0.0, -27.338, 2.0
4.3, 1.0, -19.746, 2.0
4.4, 0.0, -27.557, 2.0
4.4, 1.0, -20.747, 2.0
4.5, 0.0, -27.760, 2.0
4.5, 1.0, -20.591, 2.0
4.6, 0.0, -27.073, 2.0
4.6, 1.0, -21.199, 2.0
4.7, 0.0, -26.928, 2.0
4.7, 1.0, -21.678, 2.0
4.8, 0.0, -26.074, 2.0
4.8, 1.0, -21.314, 2.0
4.9, 0.0, -25.196, 2.0
4.9, 1.0, -19.363, 2.0
5.0, 0.0, -25.057, 2.0
5.0, 1.0, -17.488, 2.0
5.1, 0.0, -23.938, 2.0
5.1, 1.0, -16.829, 2.0
5.2, 0.0, -23.037, 2.0
5.2, 1.0, -17.513, 2.0
5.3, 0.0, -22.407, 2.0
5.3, 1.0, -18.413, 2.0
5.4, 0.0, -22.326, 2.0
5.4, 1.0, -19.548, 2.0
5.5, 0.0, -22.568, 2.0
5.5, 1.0, -20.698, 2.0
5.6, 0.0, -22.590, 2.0
5.6, 1.0, -21.146, 2.0
5.7, 0.0, -23.061, 2.0
5.7, 1.0, -20.886, 2.0
5.8, 0.0, -23.590, 2.0
5.8, 1.0, -21.170, 2.0
5.9, 0.0, -24.502, 2.0
5.9, 1.0, -22.102, 2.0
6.0, 0.0, -24.899, 2.0
6.0, 1.0, -24.519, 2.0
6.1, 0.0, -25.071, 2.0
6.1, 1.0, -27.069, 2.0
6.2, 0.0, -26.222, 2.0
6.2, 1.0, -27.780, 2.0
6.3, 0.0, -27.022, 2.0
6.3, 1.0, -26.571, 2.0
6.4, 0.0, -27.554, 2.0
6.4, 1.0, -25.563, 2.0
6.5, 0.0, -27.343, 2.0
6.5, 1.0, -24.118, 2.0
6.6, 0.0, -26.887, 2.0
6.6, 1.0, -22.157, 2.0
6.7, 0.0, -26.651, 2.0
6.7, 1.0, -21.623, 2.0
6.8, 0.0, -26.620, 2.0
6.8, 1.0, -20.019, 2.0
6.9, 0.0, -25.963, 2.0
6.9, 1.0, -19.025, 2.0
7.0, 0.0, -25.004, 2.0
7.0, 1.0, -19.231, 2.0
7.1, 0.0, -24.218, 2.0
7.1, 1.0, -17.610, 2.0
7.2, 0.0, -23.406, 2.0
7.2, 1.0, -16.365, 2.0
7.3, 0.0, -23.281, 2.0
7.3, 1.0, -15.970, 2.0
7.4, 0.0, -22.986, 2.0
7.4, 1.0, -15.483, 2.0
7.5, 0.0, -22.932, 2.0
7.5, 1.0, -14.598, 2.0
7.6, 0.0, -22.886, 2.0
7.6, 1.0, -13.097, 2.0
7.7, 0.0, -22.754, 2.0
7.7, 1.0, -12.115, 2.0
7.8, 0.0, -24.300, 2.0
7.8, 1.0, -10.717, 2.0
7.9, 0.0, -25.152, 2.0
7.9, 1.0, -10.957, 2.0
8.0, 0.0, -26.135, 2.0
8.0, 1.0, -12.907, 2.0
8.1, 0.0, -25.551, 2.0
8.1, 1.0, -15.096, 2.0
8.2, 0.0, -26.648, 2.0
8.2, 1.0, -17.420, 2.0
8.3, 0.0, -26.447, 2.0
8.3, 1.0, -19.531, 2.0
8.4, 0.0, -26.172, 2.0
