time, location, value, std, type
5.0, 20.0,   4.48213232, 0.10, 1.00
5.0, 40.0,   5.76466127, 0.10, 1.00
5.0, 60.0,   4.72413136, 0.10, 1.00
5.0, 80.0,   7.40169216, 0.10, 1.00
10.0, 20.0,   6.39098611, 0.10, 1.00
10.0, 40.0,   6.79449705, 0.10, 1.00
10.0, 60.0,   6.41860799, 0.10, 1.00
10.0, 80.0,   7.14771601, 0.10, 1.00
15.0, 20.0,   6.96333488, 0.10, 1.00
15.0, 40.0,   6.49326339, 0.10, 1.00
15.0, 60.0,   7.27474791, 0.10, 1.00
15.0, 80.0,   6.40271789, 0.10, 1.00
20.0, 20.0,   4.61181196, 0.10, 1.00
20.0, 40.0,   4.53892098, 0.10, 1.00
20.0, 60.0,   6.16978328, 0.10, 1.00
20.0, 80.0,   4.86477335, 0.10, 1.00
25.0, 20.0,   3.08250136, 0.10, 1.00
25.0, 40.0,   4.33785307, 0.10, 1.00
25.0, 60.0,   5.85845266, 0.10, 1.00
25.0, 80.0,   4.62642865, 0.10, 1.00
30.0, 20.0,   4.99225975, 0.10, 1.00
30.0, 40.0,   6.48653496, 0.10, 1.00
30.0, 60.0,   6.67139127, 0.10, 1.00
30.0, 80.0,   6.45070029, 0.10, 1.00
35.0, 20.0,   7.67256984, 0.10, 1.00
35.0, 40.0,   6.99970606, 0.10, 1.00
35.0, 60.0,   6.42296155, 0.10, 1.00
35.0, 80.0,   7.15470307, 0.10, 1.00
40.0, 20.0,   7.79513691, 0.10, 1.00
40.0, 40.0,   4.53398707, 0.10, 1.00
40.0, 60.0,   4.56931775, 0.10, 1.00
40.0, 80.0,   6.29071211, 0.10, 1.00
45.0, 20.0,   7.16850605, 0.10, 1.00
45.0, 40.0,   3.01225154, 0.10, 1.00
45.0, 60.0,   4.46543939, 0.10, 1.00
45.0, 80.0,   5.90916769, 0.10, 1.00
50.0, 20.0,   7.20637426, 0.10, 1.00
50.0, 40.0,   5.07381841, 0.10, 1.00
50.0, 60.0,   6.42512558, 0.10, 1.00
50.0, 80.0,   6.83400253, 0.10, 1.00
55.0, 20.0,   6.61341698, 0.10, 1.00
55.0, 40.0,   7.62613042, 0.10, 1.00
55.0, 60.0,   7.09798138, 0.10, 1.00
55.0, 80.0,   6.44092941, 0.10, 1.00
60.0, 20.0,   4.73566733, 0.10, 1.00
60.0, 40.0,   7.96255757, 0.10, 1.00
60.0, 60.0,   4.60573161, 0.10, 1.00
60.0, 80.0,   4.49615933, 0.10, 1.00
65.0, 20.0,   4.73713818, 0.10, 1.00
65.0, 40.0,   7.47383851, 0.10, 1.00
65.0, 60.0,   3.03767857, 0.10, 1.00
65.0, 80.0,   4.40376171, 0.10, 1.00
70.0, 20.0,   6.19882785, 0.10, 1.00
70.0, 40.0,   7.15873380, 0.10, 1.00
70.0, 60.0,   4.99968029, 0.10, 1.00
70.0, 80.0,   6.53580772, 0.10, 1.00
75.0, 20.0,   7.21213354, 0.10, 1.00
75.0, 40.0,   6.42869907, 0.10, 1.00
75.0, 60.0,   7.43329220, 0.10, 1.00
75.0, 80.0,   6.78743508, 0.10, 1.00
80.0, 20.0,   6.32790628, 0.10, 1.00
80.0, 40.0,   4.87677850, 0.10, 1.00
80.0, 60.0,   8.02247611, 0.10, 1.00
80.0, 80.0,   4.52178065, 0.10, 1.00
85.0, 20.0,   5.95937504, 0.10, 1.00
85.0, 40.0,   4.57105335, 0.10, 1.00
85.0, 60.0,   7.25366739, 0.10, 1.00
85.0, 80.0,   3.15256501, 0.10, 1.00
90.0, 20.0,   6.71200643, 0.10, 1.00
90.0, 40.0,   6.38714465, 0.10, 1.00
90.0, 60.0,   7.15205635, 0.10, 1.00
90.0, 80.0,   4.93355029, 0.10, 1.00
95.0, 20.0,   6.54080288, 0.10, 1.00
95.0, 40.0,   7.16278731, 0.10, 1.00
95.0, 60.0,   6.43050611, 0.10, 1.00
95.0, 80.0,   7.53235110, 0.10, 1.00
100.0, 20.0,   4.64270353, 0.10, 1.00
100.0, 40.0,   6.32494626, 0.10, 1.00
100.0, 60.0,   4.76193040, 0.10, 1.00
100.0, 80.0,   7.91535164, 0.10, 1.00
105.0, 20.0,   4.49017084, 0.10, 1.00
105.0, 40.0,   6.03644922, 0.10, 1.00
105.0, 60.0,   4.66390907, 0.10, 1.00
105.0, 80.0,   7.42484850, 0.10, 1.00
110.0, 20.0,   6.47724860, 0.10, 1.00
110.0, 40.0,   6.76087403, 0.10, 1.00
110.0, 60.0,   6.34822794, 0.10, 1.00
110.0, 80.0,   7.32985244, 0.10, 1.00
115.0, 20.0,   7.06688824, 0.10, 1.00
115.0, 40.0,   6.57082345, 0.10, 1.00
115.0, 60.0,   7.24013508, 0.10, 1.00
115.0, 80.0,   6.66736979, 0.10, 1.00
120.0, 20.0,   4.48598442, 0.10, 1.00
120.0, 40.0,   4.70815375, 0.10, 1.00
120.0, 60.0,   6.39565623, 0.10, 1.00
120.0, 80.0,   4.71350963, 0.10, 1.00
125.0, 20.0,   3.07566613, 0.10, 1.00
125.0, 40.0,   4.33966048, 0.10, 1.00
125.0, 60.0,   5.83243230, 0.10, 1.00
125.0, 80.0,   4.63971653, 0.10, 1.00
130.0, 20.0,   5.18500151, 0.10, 1.00
130.0, 40.0,   6.69195832, 0.10, 1.00
130.0, 60.0,   6.72340975, 0.10, 1.00
130.0, 80.0,   6.06894175, 0.10, 1.00
135.0, 20.0,   7.65195368, 0.10, 1.00
135.0, 40.0,   6.97624928, 0.10, 1.00
135.0, 60.0,   6.36144610, 0.10, 1.00
135.0, 80.0,   7.18343973, 0.10, 1.00
140.0, 20.0,   7.87745846, 0.10, 1.00
140.0, 40.0,   4.58319974, 0.10, 1.00
140.0, 60.0,   4.59519866, 0.10, 1.00
140.0, 80.0,   6.16401297, 0.10, 1.00
145.0, 20.0,   7.20536665, 0.10, 1.00
145.0, 40.0,   3.15115302, 0.10, 1.00
145.0, 60.0,   4.30972927, 0.10, 1.00
145.0, 80.0,   5.87842195, 0.10, 1.00
150.0, 20.0,   7.16040460, 0.10, 1.00
150.0, 40.0,   5.16869215, 0.10, 1.00
150.0, 60.0,   6.63213023, 0.10, 1.00
150.0, 80.0,   6.91702599, 0.10, 1.00
