time,value
0,75.0
60,75.0
120,75.0
180,75.0
240,75.0
300,75.0
360,75.0
420,75.0
480,75.0
540,75.0
600,75.0
660,75.0
720,75.0
780,75.0
840,75.0
900,75.0
960,75.0
1020,75.0
1080,75.0
1140,75.0
1200,75.0
1260,75.0
1320,75.0
1380,75.0
1440,75.0
1500,75.0
1560,75.0
1620,75.0
1680,75.0
1740,75.0
1800,75.0
1860,75.0
1920,75.0
1980,75.0
2040,75.0
2100,75.0
2160,75.0
2220,75.0
2280,75.0
2340,75.0
2400,75.0
2460,75.0
2520,75.0
2580,75.0
2640,75.0
2700,75.0
2760,75.0
2820,75.0
2880,75.0
2940,75.0
3000,75.0
3060,75.0
3120,75.0
3180,75.0
3240,75.0
3300,75.0
3360,75.0
3420,75.0
3480,75.0
3540,75.0
3600,75.0
3660,75.0
3720,75.0
3780,75.0
3840,75.0
3900,75.0
3960,75.0
4020,75.0
4080,75.0
4140,75.0
4200,75.0
4260,75.0
4320,75.0
4380,75.0
4440,75.0
4500,75.0
4560,75.0
4620,75.0
4680,75.0
4740,75.0
4800,75.0
4860,75.0
4920,75.0
4980,75.0
5040,75.0
5100,75.0
5160,75.0
5220,75.0
5280,75.0
5340,75.0
5400,75.0
5460,75.0
5520,75.0
5580,75.0
5640,75.0
5700,75.0
5760,75.0
5820,75.0
5880,75.0
5940,75.0
6000,125.0
6060,125.0
6120,125.0
6180,125.0
6240,125.0
6300,125.0
6360,125.0
6420,125.0
6480,125.0
6540,125.0
6600,125.0
6660,125.0
6720,125.0
6780,125.0
6840,125.0
6900,125.0
6960,125.0
7020,125.0
7080,125.0
7140,125.0
7200,125.0
7260,125.0
7320,125.0
7380,125.0
7440,125.0
7500,125.0
7560,125.0
7620,125.0
7680,125.0
7740,125.0
7800,125.0
7860,125.0
7920,125.0
7980,125.0
8040,125.0
8100,125.0
8160,125.0
8220,125.0
8280,125.0
8340,125.0
8400,125.0
8460,125.0
8520,125.0
8580,125.0
8640,125.0
8700,125.0
8760,125.0
8820,125.0
8880,125.0
8940,125.0
9000,125.0
9060,125.0
9120,125.0
9180,125.0
9240,125.0
9300,125.0
9360,125.0
9420,125.0
9480,125.0
9540,125.0
9600,125.0
9660,125.0
9720,125.0
9780,125.0
9840,125.0
9900,125.0
9960,125.0
10020,125.0
10080,125.0
10140,125.0
10200,125.0
10260,125.0
10320,125.0
10380,125.0
10440,125.0
10500,125.0
10560,125.0
10620,125.0
10680,125.0
10740,125.0
10800,125.0
10860,125.0
10920,125.0
10980,125.0
11040,125.0
11100,125.0
11160,125.0
11220,125.0
11280,125.0
11340,125.0
11400,125.0
11460,125.0
11520,125.0
11580,125.0
11640,125.0
11700,125.0
11760,125.0
11820,125.0
11880,125.0
11940,125.0
12000,125.0
12060,125.0
12120,125.0
12180,125.0
12240,125.0
12300,125.0
12360,125.0
12420,125.0
12480,125.0
12540,125.0
12600,125.0
12660,125.0
12720,125.0
12780,125.0
12840,125.0
12900,125.0
12960,125.0
13020,125.0
13080,125.0
13140,125.0
13200,125.0
13260,125.0
13320,125.0
13380,125.0
13440,125.0
13500,100.0
13560,100.0
13620,100.0
13680,100.0
13740,100.0
13800,100.0
13860,100.0
13920,100.0
13980,100.0
14040,100.0
14100,100.0
14160,100.0
14220,100.0
14280,100.0
14340,100.0
14400,100.0
14460,100.0
14520,100.0
14580,100.0
14640,100.0
14700,100.0
14760,100.0
14820,100.0
14880,100.0
14940,100.0
15000,100.0
