%
%   
% Observational data - integral wave parameters
%
%     Xp     Yp       Hsig     RTpeak     Tm02      Tm_10   
%     [m]    [m]       [m]     [sec]      [sec]     [sec]   
%
      0.0    0.0       0.023   2.000      1.265     1.603   
      5.7    0.0       0.023   2.000      1.265     1.603   
     10.5    0.0       0.025   2.000      1.312     1.668   
     12.5    0.0       0.027   2.000      0.987     1.587   
     13.5    0.0       0.027   2.000      0.939     1.511   
     14.5    0.0       0.025   2.000      0.985     1.428   
     15.7    0.0       0.024   2.000      1.039     1.422   
     17.3    0.0       0.024   2.000      1.017     1.388   

 
